,Book,Author,Year,month
6,Harry Potter and the Chamber of Secrets,J. K. Rowling,2000,February
15,The Brethren,John Grisham,2000,April
17,The Wedding,Danielle Steel,2000,April
21,Before I Say Good-Bye,Mary Higgins Clark,2000,May
22,Easy Prey,John Sandford,2000,June
26,The Indwelling,Tim LaHaye and Jerry B. Jenkins,2000,July
27,Hot Six,Janet Evanovich,2000,July
32,The House on Hope Street,Danielle Steel,2000,August
35,Winter Solstice,Rosamunde Pilcher,2000,September
42,The Rescue,Nicholas Sparks,2000,October
43,Drowning Ruth,Christina Schwarz,2000,October
46,The Last Precinct,Patricia Cornwell,2000,November
47,Winter's Heart,Robert Jordan,2000,November
52,The Mark,Tim LaHaye and Jerry B. Jenkins,2000,December
53,The Bear and the Dragon,Tom Clancy,2001,January
56,From the Corner of His Eye,Dean Koontz,2001,January
59,A Day Late and a Dollar Short,Terry McMillan,2001,February
63,A Painted House,John Grisham,2001,March
65,1st to Die,James Patterson,2001,April
68,Dreamcatcher,Stephen King,2001,April
69,A Common Life,Jan Karon,2001,April
73,On the Street Where You Live,Mary Higgins Clark,2001,May
76,Chosen Prey,John Sandford,2001,June
78,"""P"" Is for Peril",Sue Grafton,2001,July
79,Seven Up,Janet Evanovich,2001,July
81,Leap of Faith,Danielle Steel,2001,July
82,The Fourth Hand,John Irving,2001,July
86,Suzanne's Diary for Nicholas,James Patterson,2001,August
90,Valhalla Rising,Clive Cussler,2001,September
92,Black House,Stephen King and Peter Straub,2001,October
94,The Corrections,Jonathan Franzen,2001,October
95,Isle of Dog,Patricia Cornwell,2001,October
96,Midnight Bayou,Nora Roberts,2001,November
97,The Kiss,Danielle Steel,2001,November
100,Desecration,Tim LaHaye and Jerry B. Jenkins,2001,December
106,Skipping Christmas,John Grisham,2002,January
108,One Door Away from Heaven,Dean Koontz,2002,January
110,Journey Through Heartsongs,Mattie Stepanek,2002,February
111,The Diary of Ellen Rimbauer,Joyce Reardon,2002,February
115,The Summons,John Grisham,2002,March
117,2nd Chance,James Patterson and Andrew Gross,2002,March
119,Everything's Eventual,Stephen King,2002,April
120,Three Fates,Nora Roberts,2002,April
121,The Nanny Diaries,Emma McLaughlin and Nicola Kraus,2002,April
123,Daddy's Little Girl,Mary Higgins Clark,2002,May
127,The Shelters of Stone,Jean M. Auel,2002,June
129,In This Mountain,Jan Karon,2002,June
131,Hard Eight,Janet Evanovich,2002,July
132,The Beach House,James Patterson and Peter de Jonge,2002,July
